sno,sna,sarea,mday,ar,sareaen,snaen,aren,act,srcUpdateTime,updateTime,infoTime,infoDate,Quantity,available_rent_bikes,latitude,longitude,available_return_bikes
500101039,YouBike2.0_臺大法人語言訓練中心前,大安區,2026-02-07 16:10:03,臺大法人語言訓練中心北側,Daan Dist.,YouBike2.0_NTU Language Training & Testing Center,NTU Language Training & Testing Center(North),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:10:03,2026-02-07,28,10,25.02104,121.54081,18
500101040,YouBike2.0_臺大綜合體育館停車場前,大安區,2026-02-07 14:09:19,臺大綜合體育館北側,Daan Dist.,YouBike2.0_NTU Sports Center Car Park,NTU Sports Center(North),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 14:09:19,2026-02-07,25,17,25.0222,121.53626,7
500101041,YouBike2.0_辛亥新生路口東南側,大安區,2026-02-07 16:10:03,辛亥新生路口東南側,Daan Dist.,YouBike2.0_Xinhai Xinsheng Rd. Intersection (Southeast),Xinhai Xinsheng Rd. Intersection (Southeast),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:10:03,2026-02-07,50,25,25.02218,121.53474,25
500101042,YouBike2.0_基隆長興路口東側,大安區,2026-02-07 17:00:02,基隆長興路口東側,Daan Dist.,YouBike2.0_Keelung Changxing Rd. Intersection(East),Keelung Changxing Rd. Intersection(East),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,15,4,25.01727,121.54471,11
500101091,YouBike2.0_國北教大側門南側,大安區,2026-02-07 16:50:03,敦南街51號,Daan Dist.,YouBike2.0_NTUE Side Gate(South),No. 51， Dunnan St.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:50:03,2026-02-07,34,19,25.022864,121.546622,15
500101092,YouBike2.0_和平實小東北側,大安區,2026-02-07 16:50:03,敦南街73號,Daan Dist.,YouBike2.0_Heping Experiment Elementary School (Northeast),No. 73， Dunnan St.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:50:03,2026-02-07,25,4,25.021641,121.54704,21
500101093,YouBike2.0_大安區健康服務中心,大安區,2026-02-07 17:22:17,辛亥路三段15號,Daan Dist.,YouBike2.0_Daan District Public Health Center,No. 15， Sec. 1， Xinhai Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:22:17,2026-02-07,23,23,25.021469,121.544069,0
500101094,YouBike2.0_辛亥泰順街口,大安區,2026-02-07 16:50:03,辛亥泰順街口東南側,Daan Dist.,YouBike2.0_Xinhai Taishun St. Intersection,Xinhai Taishun St. Intersection (Southeast),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:50:03,2026-02-07,20,12,25.02193,121.53165,8
500101095,YouBike2.0_臺北市芳和實驗中學,大安區,2026-02-07 13:40:03,臥龍街170號(前),Daan Dist.,YouBike2.0_Taipei City FangHe Experimental High School,No. 170， Wolong St.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 13:40:03,2026-02-07,76,16,25.0189,121.55013,60
500101097,YouBike2.0_臥龍樂業街口,大安區,2026-02-07 16:50:03,臥龍街234-2號,Daan Dist.,YouBike2.0_Wolong Leye St. Intersection,No. 234-2， Wolong St.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:50:03,2026-02-07,64,18,25.01856,121.55558,46
500101098,YouBike2.0_臥龍公園,大安區,2026-02-07 16:10:03,辛亥路三段223號西側,Daan Dist.,YouBike2.0_Wolong Park,No. 223， Sec. 3， Xinhai Rd. (West),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:10:03,2026-02-07,25,14,25.01623,121.55037,11
500101099,YouBike2.0_嘉興公園,大安區,2026-02-07 17:00:02,樂業街101巷3號西北側,Daan Dist.,YouBike2.0_Jiaxing Park,No. 3， Ln. 101， Leye St. (Northwest),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,44,7,25.021,121.55211,35
500101100,YouBike2.0_捷運麟光站(2號出口),大安區,2026-02-07 16:13:18,和平東路三段420號東北側,Daan Dist.,YouBike2.0_MRT Linguang Sta. (Exit 2),No. 420， Sec. 3， Heping E. Rd. (Northeast),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:13:18,2026-02-07,69,1,25.0181,121.55929,68
500101101,YouBike2.0_捷運六張犁站,大安區,2026-02-07 17:00:02,和平東路三段410號,Daan Dist.,YouBike2.0_MRT Liuzhangli Sta.,No. 410， Sec. 3， Heping E. Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,64,53,25.02397,121.55266,11
500101102,YouBike2.0_喬治工商,大安區,2026-02-07 17:11:17,基隆路二段166號,Daan Dist.,YouBike2.0_George Vocational High School of Taipei,No. 166， Sec. 2， Keelung Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:11:17,2026-02-07,22,2,25.02705,121.55551,20
500101103,YouBike2.0_法治公園,大安區,2026-02-07 13:50:03,通化街189號西側,Daan Dist.,YouBike2.0_Fazhi Park,No. 189， Tonghua St. (West),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 13:50:03,2026-02-07,41,23,25.02694,121.55325,18
500101104,YouBike2.0_捷運臺電大樓站(2號出口),大安區,2026-02-07 16:40:04,辛亥路一段/羅斯福路三段口北側(辛亥路側),Daan Dist.,YouBike2.0_MRT Taipower Building Sta. (Exit 2),Sec. 1， Xinhai Rd & Sec. 3， Roosevelt Rd (North),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:40:04,2026-02-07,18,6,25.02021,121.52942,12
500101105,YouBike2.0_和平金山路口,大安區,2026-02-07 16:50:03,和平東路一段/金山南路二段西南側,Daan Dist.,YouBike2.0_Sec. 1， Heping E. Rd & Sec. 2， Jinshan S. Rd Intersection,Sec. 1， Heping E. Rd & Sec. 2， Jinshan S. Rd Intersection (Southwest),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:50:03,2026-02-07,58,22,25.02669,121.52529,36
500101107,YouBike2.0_和平龍泉街口,大安區,2026-02-07 17:00:02,和平東路一段/龍泉街口西南側,Daan Dist.,YouBike2.0_Sec. 1， Heping E. Rd & Longquan St. Intersection,Sec. 1， Heping E. Rd & Longquan St. Intersection (Southwest),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,34,8,25.02638,121.52971,22
500101108,YouBike2.0_和平泰順街口,大安區,2026-02-07 17:00:02,和平東路一段/泰順街口東南側,Daan Dist.,YouBike2.0_Sec. 1， Heping E. Rd & Taishun St  Intersection,Sec. 1， Heping E. Rd & Taishun St  Intersection (Southeast),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,19,5,25.02621,121.53171,13
500101109,YouBike2.0_臺灣師範大學(圖書館),大安區,2026-02-07 16:50:03,和平東路一段129號前,Daan Dist.,YouBike2.0_National Taiwan Normal University (library),No. 129， Sec. 1， Heping E. Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:50:03,2026-02-07,40,26,25.0266,121.52973,14
500101110,YouBike2.0_捷運古亭站(6號出口),大安區,2026-02-07 16:50:03,羅斯福路二段41號前,Daan Dist.,YouBike2.0_MRT Guting Sta. (Exit 6),No. 41， Sec. 2， Roosevelt Rd,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:50:03,2026-02-07,60,50,25.0276,121.52217,10
500101111,YouBike2.0_捷運古亭站(5號出口),大安區,2025-02-12 12:39:16,和平東路一段19號前,Daan Dist.,YouBike2.0_MRT Guting Sta. (Exit 5),No. 19， Sec. 1， Heping E. Rd,0,2026-02-07 17:30:52,2026-02-07 17:30:52,2025-02-12 12:39:16,2025-02-12,14,0,25.02715,121.52293,14
500101113,YouBike2.0_臺北市立圖書館(總館),大安區,2026-02-07 17:00:02,建國南路二段/建國南路二段151巷(橋下空間),Daan Dist.,YouBike2.0_Taipei Public library,Sec. 2， Jianguo S. Rd & Ln. 151， Sec. 2， Jianguo S. Rd (Under Bridge),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,99,48,25.02895,121.5379,50
500101114,YouBike2.0_新生和平路口東北側,大安區,2026-02-07 17:17:17,新生南路二段與和平東路二段口東北側,Daan Dist.,YouBike2.0_Sec. 2， Xinsheng S. Rd & Sec. 2， Heping E. Rd Intersection,Sec. 2， Xinsheng S. Rd & Sec. 2， Heping E. Rd (Northeast),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:17:17,2026-02-07,51,1,25.02657,121.53515,50
500101115,YouBike2.0_建國和平路口西北側,大安區,2026-02-07 17:00:02,建國南路二段與和平東路二段口西北側,Daan Dist.,YouBike2.0_Sec. 2， Jianguo S. Rd & Sec. 2， Heping E. Rd Intersection,Sec. 2， Jianguo S. Rd & Sec. 2， Heping E. Rd. (Northwest),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,50,17,25.02606,121.53738,33
500101116,YouBike2.0_金華公園,大安區,2026-02-07 17:00:02,金華街249號對面,Daan Dist.,YouBike2.0_Jinhua Park,No. 249， Jinhua St. (Opposite),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,44,39,25.02984,121.53107,5
500101117,YouBike2.0_捷運東門站(3號出口),大安區,2025-02-27 01:05:15,信義路二段128號前,Daan Dist.,YouBike2.0_MRT Dongmen Sta. (Exit 3),No. 128， Sec. 2， Xinyi Rd.,0,2026-02-07 17:30:52,2026-02-07 17:30:52,2025-02-27 01:05:15,2025-02-27,18,0,25.03383,121.52815,0
500101118,YouBike2.0_金甌女中,大安區,2026-02-07 16:10:03,信義路二段與杭州南路二段東南側,Daan Dist.,YouBike2.0_Jin'ou Girls High School,Sec. 2， Xinyi Rd. & Sec. 2， Hangzhou S. Rd. (Southeast),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:10:03,2026-02-07,15,7,25.03519,121.5245,8
500101119,YouBike2.0_金杭公園,大安區,2026-02-07 17:14:16,愛國東路21巷與杭州南路二段25巷口東南側,Daan Dist.,YouBike2.0_Jinhang Park,Ln. 21， Aiguo E. Rd. & Ln. 25， Sec. 2， Hangzhou S. Rd. Intersection (Southeast),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:14:16,2026-02-07,20,0,25.03325,121.52436,19
500101120,YouBike2.0_愛國金山路口,大安區,2026-02-07 14:50:03,愛國東路與杭州南路二段口西南側,Daan Dist.,YouBike2.0_Aiguo & Jinshan Rd. Intersection,Aiguo E. Rd. & Sec. 2， Hangzhou S. Rd. Intersection (Southwest),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 14:50:03,2026-02-07,57,35,25.03164,121.52661,22
500101122,YouBike2.0_敦化南路二段293巷口南側,大安區,2026-02-07 08:40:04,敦化南路二段293巷口南側,Daan Dist.,YouBike2.0_Ln. 293， Sec. 2， Dunhua S. Rd (South),Ln. 293， Sec. 2， Dunhua S. Rd. (South),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 08:40:04,2026-02-07,14,3,25.0237,121.54899,11
500101123,YouBike2.0_敦化基隆路口,大安區,2026-02-07 16:10:03,敦化南路二段218號,Daan Dist.,YouBike2.0_Sec. 2， Dunhua S. Rd & Sec. 2， Keelung Rd Intersection,No. 218， Sec. 2， Dunhua S. Rd,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:10:03,2026-02-07,38,12,25.02215,121.54839,26
500101124,YouBike2.0_安和路二段181巷口,大安區,2026-02-07 16:10:03,安和路二段185號,Daan Dist.,YouBike2.0_Ln. 181， Sec. 2， Anhe Rd,No185， Sec. 2， Anhe Rd,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:10:03,2026-02-07,29,23,25.02721,121.54988,6
500101125,YouBike2.0_臨江街夜市(通化街101巷口),大安區,2026-02-07 14:50:03,通化街111號,Daan Dist.,YouBike2.0_Linjiang St night market (Ln. 101， Tonghua St),No. 101， Tonghua St.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 14:50:03,2026-02-07,30,14,25.02952,121.55406,13
500101126,YouBike2.0_臨江街夜市(基隆路),大安區,2026-02-07 17:00:02,基隆路二段108號,Daan Dist.,YouBike2.0_Linjiang St night market (Keelung Rd),No. 108， Sec. 2， Keelung Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,29,6,25.02931,121.55721,20
500101127,YouBike2.0_台北科技大學億光大樓,大安區,2026-02-07 16:10:03,忠孝東路三段81號,Daan Dist.,YouBike2.0_National Taipei University of Technology (Everlight Building),No. 81， Sec. 3， Zhongxiao E. Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:10:03,2026-02-07,59,7,25.04177,121.53833,52
500101128,YouBike2.0_新生南路一段119巷口,大安區,2026-02-07 17:00:02,新生南路一段113號,Daan Dist.,YouBike2.0_Ln. 119， Sec. 1， Xinsheng S. Rd Intersection,No. 113， Ln. 119， Sec. 1， Xinsheng S. Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,63,14,25.04003,121.53299,48
500101129,YouBike2.0_幸安國小(仁愛路),大安區,2026-02-07 16:40:04,仁愛路三段22號,Daan Dist.,YouBike2.0_Xing'an Elementary School (Ren'ai Rd),No. 22， Sec. 3， Ren'ai Rd.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 16:40:04,2026-02-07,28,8,25.03753,121.53523,19
500101130,YouBike2.0_民榮公園,大安區,2026-02-07 17:00:02,建國南路一段304巷45號南側,Daan Dist.,YouBike2.0_Minrong Park,No. 45， Ln. 304， Sec. 1， Jianguo S. Rd. (South),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,31,14,25.03534,121.5354,17
500101131,YouBike2.0_復興南路1段340巷口,大安區,2026-02-07 17:00:02,復興南路一段信義路三段147巷45弄口,Daan Dist.,YouBike2.0_Ln. 340， Sec. 1， Fuxing S. Rd Intersection,Sec. 1， Fuxing S. Rd & Aly. 45， Ln. 147， Sec. 3， Xinyi Rd Intersection.,1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,50,23,25.03701,121.54348,25
500101132,YouBike2.0_建國濟南路口,大安區,2026-02-07 17:00:02,建國南路一段/濟南路三段口(東南側),Daan Dist.,YouBike2.0_Sec. 1， Jianguo S. Rd & Sec. 3， Jinan Rd Intersection,Sec. 1， Jianguo S. Rd & Sec. 3， Jinan Rd Intersection. (Southeast),1,2026-02-07 17:30:52,2026-02-07 17:30:52,2026-02-07 17:00:02,2026-02-07,54,47,25.03935,121.53828,7
